game_length,gold_left,last_round,players_eliminated,time_eliminated,total_damage_to_players
0.701755993,2.308217996,-0.884969487,0.173684235,-0.719363638,-0.813224176
0.701755993,-0.542416878,-2.43701474,-0.736637418,-2.534173198,-1.767466347
0.701755993,-0.257353391,-1.106690237,-0.736637418,-0.986677473,-1.103645706
0.701755993,-0.542416878,0.223634265,0.173684235,0.299435915,-0.12865914
0.701755993,-0.471151006,-1.328410988,-0.736637418,-1.225312607,-1.124390101
0.701755993,4.01859892,1.332238016,0.173684235,1.455185923,1.717592016
0.701755993,0.384039456,1.332238016,1.084005888,1.455185923,1.074515771
0.701755993,-0.399885134,0.445355015,1.084005888,0.573028545,0.49367271
0.922802869,-0.328619262,-1.328410988,-0.736637418,-1.18310668,-1.435556027
0.922802869,-0.542416878,-0.441527986,0.173684235,-0.26989251,-0.315358696
0.922802869,-0.257353391,1.332238016,1.994327541,1.564776537,2.028757942
0.922802869,-0.542416878,-0.884969487,-0.736637418,-0.638261941,-0.730246596
0.922802869,-0.471151006,0.445355015,-0.736637418,0.699199318,-0.398336276
0.922802869,-0.471151006,1.110517266,1.994327541,1.301320536,0.36920634
0.922802869,-0.542416878,-0.884969487,-0.736637418,-0.633718184,-0.647269016
0.922802869,0.882900559,1.332238016,0.173684235,1.564776537,0.846327426
-1.028268031,-0.542416878,-1.106690237,0.173684235,-1.233796084,-0.854712966
-1.028268031,-0.471151006,-0.441527986,-0.736637418,-0.578994648,-0.502058251
-1.028268031,2.45074974,0.223634265,0.173684235,0.091166351,0.099529205
-1.028268031,-0.471151006,-0.441527986,-0.736637418,-0.573264978,-0.481313856
-1.028268031,-0.542416878,-1.328410988,-0.736637418,-1.465330665,-1.020668126
-1.028268031,-0.471151006,0.667075765,1.994327541,0.598579168,2.008013547
-1.028268031,1.880622765,0.667075765,1.084005888,0.598579168,0.65962787
-1.028268031,-0.471151006,-0.884969487,-0.736637418,-0.978655934,-0.585035831
1.797586978,3.092142586,0.223634265,0.173684235,0.438910412,-0.543547041
1.797586978,-0.328619262,-1.328410988,-0.736637418,-1.197719629,-1.248856472
1.797586978,-0.542416878,-0.219807236,-0.736637418,0.053783079,-0.688757806
1.797586978,-0.257353391,-0.441527986,-0.736637418,-0.159094306,-0.647269016
1.797586978,3.804801305,1.332238016,0.173684235,1.629639591,0.680372265
1.797586978,-0.114821647,-0.441527986,-0.736637418,-0.220539307,-0.688757806
1.797586978,3.662269561,1.775679517,1.084005888,2.000325937,1.344192906
1.797586978,-0.186087519,1.775679517,1.994327541,2.000325937,2.215457497
0.000172939,1.239229918,0.667075765,1.994327541,1.10779205,2.381412657
0.000172939,-0.542416878,-1.106690237,-0.736637418,-0.795573801,-1.041412521
0.000172939,-0.542416878,-0.884969487,-0.736637418,-0.498110192,-0.709502201
0.000172939,1.381761662,0.223634265,-0.736637418,0.541670217,0.24473997
0.000172939,-0.542416878,0.667075765,1.994327541,1.10779205,0.555905895
0.000172939,-0.471151006,-1.106690237,-0.736637418,-0.793597919,-1.269600867
0.000172939,-0.542416878,-0.441527986,0.173684235,-0.148798721,-0.460569461
0.000172939,-0.471151006,-0.219807236,-0.736637418,0.109187238,-0.00419277
0.33893248,-0.542416878,0.667075765,1.084005888,0.919397387,0.182506785
0.33893248,-0.471151006,0.223634265,-0.736637418,0.407445631,-0.04568156
0.33893248,-0.328619262,1.110517266,1.084005888,1.275531959,1.012282586
0.33893248,-0.114821647,0.667075765,-0.736637418,0.932832611,0.431439525
0.33893248,0.811634687,-0.441527986,-0.736637418,-0.275483455,-0.605780226
0.33893248,-0.399885134,1.110517266,1.994327541,1.275531959,1.447914881
0.33893248,-0.542416878,-1.328410988,-0.736637418,-1.213507895,-1.331834052
0.33893248,1.809356893,-0.884969487,-0.736637418,-0.681915819,-0.771735386
-0.709636383,-0.471151006,0.667075765,1.084005888,0.75892036,1.240470931
-0.709636383,-0.471151006,-1.106690237,-0.736637418,-0.991231827,-1.145134496
-0.709636383,-0.542416878,-0.441527986,0.173684235,-0.344073806,-0.294614301
-0.709636383,-0.399885134,-0.884969487,0.173684235,-0.766997699,-0.999923731
-0.709636383,-0.471151006,0.667075765,1.084005888,0.75892036,1.074515771
-0.709636383,-0.471151006,-0.441527986,-0.736637418,-0.382819772,-0.273869906
-0.709636383,1.595559277,0.223634265,-0.736637418,0.29243459,0.223995575
-0.709636383,-0.542416878,0.445355015,-0.736637418,0.518106554,0.45218392
1.531955214,-0.471151006,1.775679517,0.173684235,1.860716569,1.427170486
1.531955214,-0.471151006,1.775679517,1.084005888,1.866248266,1.530892461
1.531955214,-0.542416878,0.223634265,0.173684235,0.382820811,-0.04568156
1.531955214,-0.471151006,-1.328410988,-0.736637418,-1.085999476,-1.456300422
1.531955214,-0.542416878,-0.219807236,0.173684235,0.022027359,-0.253125511
1.531955214,-0.471151006,1.110517266,0.173684235,1.27221795,0.991538191
1.531955214,-0.471151006,-0.219807236,-0.736637418,0.015112737,-0.419080671
1.531955214,-0.471151006,-1.106690237,-0.736637418,-1.031558691,-1.248856472
-0.271609069,3.662269561,0.667075765,1.084005888,0.973223058,1.074515771
-0.271609069,-0.399885134,0.667075765,-0.736637418,0.970654701,0.597394685
-0.271609069,-0.542416878,-0.884969487,-0.736637418,-0.395877834,-0.750990991
-0.271609069,-0.399885134,-1.106690237,-0.736637418,-0.658914767,-1.207367681
-0.271609069,-0.542416878,-0.884969487,-0.736637418,-0.411519667,-1.228112076
-0.271609069,-0.471151006,0.445355015,-0.736637418,0.914244296,0.141017995
-0.271609069,-0.471151006,0.667075765,-0.736637418,0.973223058,0.28622876
-0.271609069,-0.471151006,0.667075765,0.173684235,0.961368732,0.597394685
2.106478633,3.305940202,1.997400267,2.904649194,2.152690387,1.987269152
