gold_left,sum_unit_tier,mean_unit_rarity,placement
0,6,2.75,8
2,14,4.0,6
1,17,2.7,7
12,16,3.888888888888889,3
0,17,4.3,2
1,20,3.0,5
5,17,2.555555555555556,4
1,20,4.545454545454546,1
1,12,2.888888888888889,7
10,13,2.857142857142857,5
36,15,1.7142857142857142,8
52,14,4.0,6
1,16,2.888888888888889,1
1,15,3.555555555555556,2
0,16,2.2222222222222223,4
0,16,2.25,3
1,16,3.4444444444444446,2
27,15,2.0,6
1,15,2.375,5
2,18,3.3,1
2,19,3.0,4
71,14,0.6666666666666666,8
1,20,4.727272727272728,3
0,12,3.375,7
4,16,3.0,3
4,17,3.8,6
0,14,2.888888888888889,7
0,12,3.888888888888889,8
1,20,1.75,4
25,15,3.2222222222222223,1
24,16,4.4,2
0,17,4.4,5
14,16,3.7777777777777777,6
1,14,5.333333333333333,2
30,15,2.888888888888889,7
2,21,3.1,1
1,13,3.0,8
23,14,2.0,5
0,19,1.75,3
1,17,2.25,4
13,14,3.0,6
8,13,2.7142857142857144,8
1,15,3.4444444444444446,3
1,17,4.2,2
0,13,4.222222222222222,7
1,21,1.6666666666666667,1
2,12,5.5,5
29,16,3.0,4
24,20,1.0,4
7,12,1.8333333333333333,8
4,22,4.363636363636363,1
36,19,1.1428571428571428,7
0,19,4.636363636363637,3
1,15,3.333333333333333,2
1,16,3.2222222222222223,6
1,17,1.375,5
24,16,1.4285714285714286,7
1,14,2.625,5
40,17,2.888888888888889,3
5,19,3.6,1
42,18,2.625,4
31,14,2.5,6
5,14,3.333333333333333,8
1,19,3.5,2
0,17,3.0,2
7,16,2.375,5
0,17,2.0,6
0,21,3.2,3
13,14,2.0,7
0,14,3.555555555555556,4
5,17,3.7,1
23,12,1.3333333333333333,8
0,13,2.555555555555556,6
1,16,2.888888888888889,1
1,13,3.625,3
1,14,4.222222222222222,8
1,16,2.125,4
2,14,4.0,2
1,14,2.75,7
13,15,2.375,5
6,15,4.4,5
1,18,3.6,1
4,17,2.4444444444444446,6
0,19,2.7777777777777777,2
0,16,5.0,4
3,17,4.454545454545454,3
4,8,2.25,8
0,12,2.75,7
0,18,3.0,2
1,17,2.0,4
1,16,4.090909090909091,8
13,16,2.5,6
10,17,2.5,3
1,19,4.181818181818182,1
39,15,3.6666666666666665,5
9,14,1.5714285714285714,7
0,17,1.7777777777777777,7
0,16,3.7,4
1,16,2.333333333333333,8
4,19,2.5,2
2,16,3.636363636363636,1
5,21,3.8181818181818175,3
50,16,3.7777777777777777,5
7,21,3.4,6
7,15,3.6666666666666665,7
44,15,3.125,5
1,16,3.555555555555556,6
0,15,2.75,3
8,16,2.888888888888889,2
4,15,2.75,8
1,18,2.0,4
51,18,3.2,1
51,12,3.125,8
1,16,2.0,3
49,20,3.1,4
1,17,3.111111111111111,2
24,15,1.5714285714285714,5
0,15,2.555555555555556,7
0,19,3.0,6
84,16,2.888888888888889,1
51,14,2.0,6
3,17,2.7777777777777777,5
1,14,2.375,8
9,18,2.625,1
0,17,3.111111111111111,2
1,17,3.2222222222222223,4
1,16,3.555555555555556,3
1,12,4.555555555555555,7
11,12,2.4444444444444446,7
7,18,3.2222222222222223,3
0,17,2.7777777777777777,4
0,18,2.0,2
0,17,3.111111111111111,5
2,12,2.875,8
52,17,3.7,1
2,16,2.7777777777777777,6
0,14,1.8571428571428568,8
1,15,4.1,6
0,16,2.888888888888889,3
21,15,2.375,5
7,16,2.2222222222222223,4
1,13,2.375,7
35,20,2.6666666666666665,2
1,21,3.6666666666666665,1
5,19,4.545454545454546,5
1,19,2.111111111111111,4
1,17,2.6666666666666665,3
1,16,3.2222222222222223,2
50,10,3.25,6
0,12,3.625,8
0,15,2.0,7
1,16,3.2222222222222223,1
0,15,2.0,5
4,14,3.9,8
0,14,2.333333333333333,7
20,20,3.6,2
1,15,4.5,6
3,19,3.727272727272727,1
1,21,2.2222222222222223,4
0,16,3.888888888888889,3
59,19,3.3,3
25,14,2.75,5
3,14,2.555555555555556,8
2,19,3.5454545454545454,2
1,12,2.0,6
2,15,3.5,1
3,20,4.25,7
0,16,4.2727272727272725,4
1,13,3.25,5
1,18,3.3,2
0,14,1.7777777777777777,7
1,15,2.625,6
2,16,1.8888888888888888,4
1,19,3.7,3
2,15,3.333333333333333,1
0,11,1.3333333333333333,8
1,15,4.333333333333333,6
3,12,2.625,8
2,18,3.090909090909091,4
1,12,3.0,7
0,18,3.8,2
1,19,2.555555555555556,1
1,18,2.2222222222222223,3
0,12,4.0,5
1,15,3.5,4
0,13,2.0,8
7,12,3.0,6
2,16,2.555555555555556,1
0,17,3.375,5
1,17,4.0,2
22,18,2.6666666666666665,3
2,14,3.333333333333333,7
1,15,2.625,6
2,19,3.4545454545454546,3
0,12,3.0,7
21,15,1.1428571428571428,5
4,21,4.363636363636363,4
0,16,2.4,1
4,14,3.7,8
0,18,2.7777777777777777,2
54,15,1.625,7
0,17,3.6,5
0,17,2.888888888888889,4
0,11,2.2857142857142856,8
1,16,2.6,3
13,18,2.6666666666666665,1
5,13,2.125,6
27,18,2.888888888888889,2
18,17,3.3,1
3,17,2.888888888888889,2
5,15,1.5,8
10,16,3.636363636363636,7
0,16,3.7,5
33,18,3.3,3
4,14,3.8,4
61,15,2.111111111111111,6
7,23,5.25,1
0,14,2.875,4
0,14,2.375,6
1,13,3.125,7
1,16,3.111111111111111,5
2,18,3.5454545454545454,3
0,12,3.375,8
