gold_left,sum_unit_tier,mean_unit_rarity
0,13,3.625
23,15,2.375
3,17,2.888888888888889
0,14,2.125
20,16,0.1666666666666666
1,14,3.333333333333333
3,16,1.75
5,15,3.7
0,14,2.0
4,17,2.0
2,18,3.0
1,15,2.0
2,19,4.0
0,14,2.375
45,22,3.6
1,15,3.7777777777777777
0,14,2.125
0,16,2.0
4,13,3.75
1,18,3.4444444444444446
0,26,3.0
1,17,2.75
0,18,3.8
10,18,3.2
0,21,3.0
