traits
"['TFT13_Ambusher', 'TFT13_Bruiser', 'TFT13_Challenger', 'TFT13_Hoverboard', 'TFT13_Invoker', 'TFT13_JunkerKing', 'TFT13_Martialist', 'TFT13_Pugilist', 'TFT13_Scrap', 'TFT13_Sniper', 'TFT13_Squad', 'TFT13_Teamup_Reunion', 'TFT13_Titan']"
"['TFT13_Ambassador', 'TFT13_Bruiser', 'TFT13_Cabal', 'TFT13_Challenger', 'TFT13_Crime', 'TFT13_Experiment', 'TFT13_Family', 'TFT13_FormSwapper', 'TFT13_HighRoller', 'TFT13_Martialist', 'TFT13_Pugilist', 'TFT13_Scrap', 'TFT13_Squad', 'TFT13_Warband']"
"['TFT13_Academy', 'TFT13_Hextech', 'TFT13_Invoker', 'TFT13_JunkerKing', 'TFT13_Martialist', 'TFT13_Rebel', 'TFT13_Scrap', 'TFT13_Titan', 'TFT13_Warband']"
"['TFT13_Academy', 'TFT13_Ambassador', 'TFT13_Bruiser', 'TFT13_Cabal', 'TFT13_Challenger', 'TFT13_Family', 'TFT13_FormSwapper', 'TFT13_JunkerKing', 'TFT13_Pugilist', 'TFT13_Scrap', 'TFT13_Sorcerer', 'TFT13_Squad', 'TFT13_Titan', 'TFT13_Warband']"
"['TFT13_Academy', 'TFT13_Ambassador', 'TFT13_Crime', 'TFT13_FormSwapper', 'TFT13_Invoker', 'TFT13_JunkerKing', 'TFT13_Martialist', 'TFT13_Rebel', 'TFT13_Scrap', 'TFT13_Titan', 'TFT13_Warband']"
"['TFT13_Ambassador', 'TFT13_Ambusher', 'TFT13_Crime', 'TFT13_Hoverboard', 'TFT13_Rebel', 'TFT13_Scrap', 'TFT13_Squad', 'TFT13_Titan', 'TFT13_Watcher']"
"['TFT13_Academy', 'TFT13_Bruiser', 'TFT13_Cabal', 'TFT13_Experiment', 'TFT13_FormSwapper', 'TFT13_Infused', 'TFT13_Invoker', 'TFT13_Martialist', 'TFT13_Pugilist', 'TFT13_Sniper', 'TFT13_Sorcerer', 'TFT13_Squad']"
"['TFT13_Ambusher', 'TFT13_Crime', 'TFT13_Experiment', 'TFT13_Family', 'TFT13_FormSwapper', 'TFT13_HighRoller', 'TFT13_Hoverboard', 'TFT13_Martialist', 'TFT13_Pugilist', 'TFT13_Rebel', 'TFT13_Scrap', 'TFT13_Squad', 'TFT13_Warband']"
"['TFT13_Ambassador', 'TFT13_Challenger', 'TFT13_FormSwapper', 'TFT13_Martialist', 'TFT13_Pugilist', 'TFT13_Scrap', 'TFT13_Sorcerer', 'TFT13_Squad', 'TFT13_Warband', 'TFT13_Watcher']"
"['TFT13_Academy', 'TFT13_BloodHunter', 'TFT13_Bruiser', 'TFT13_Cabal', 'TFT13_Experiment', 'TFT13_FormSwapper', 'TFT13_Infused', 'TFT13_Invoker', 'TFT13_MissMageTrait', 'TFT13_Sniper', 'TFT13_Sorcerer', 'TFT13_Squad']"
