match_id,game_length,puuid,gold_left,last_round,players_eliminated,time_eliminated,total_damage_to_players,placement
NA1_5217973412,2378.227783203125,Bq8U1C08x7Rt1OKdw6XdzPruLBQ8szMThKJkZQPwqAnD38-US0TRvHlDwhCQjPBqGf4PtA-fl28dWw,61,38,1,2271.766845703125,133,3
NA1_5217973412,2378.227783203125,XreB7KXOYgWNQUW_yiLNBtT5vRjO48W3aJME7OuiiPSh0HffUwnN-6vx5wfG0ZC49cYflmKpD8zR_Q,6,30,0,1802.8902587890625,67,7
NA1_5217973412,2378.227783203125,VyyXhA8jKQ8_mGqg7q7JOT0lUgDmffD7ZYPUnIWEFgMRDdFRmvjeoXeatXnb2QLub7nhlIPsPpQNfg,59,40,2,2365.70703125,165,2
NA1_5217973412,2378.227783203125,h5oWESOruRuxtX7Sqn8ls9ZcHM0gOp4ntNWgwYKO8mojcU7Gm5QZeNyh0qeLUlCyCaELogqds3kRsg,5,40,3,2365.70703125,207,1
NA1_5221647656,2152.689453125,tWUStdgWHPH1ue_bJyubPVUHw-pMPhwz3tirU5Vow1Yooh8um_e6KZOd5XBmpNmQHXsdMnsemqVQLQ,25,35,3,2139.51904296875,215,1
NA1_5221647656,2152.689453125,eUnwSLQRY9aKrVmp8JTay8f0tKf_frArl9gqcee2iRiIf4RMjERqFxbLybb_4mut4kiRs43aJOg7pw,0,27,0,1657.1636962890625,50,8
NA1_5221647656,2152.689453125,pApqIJtrj0MTSzP1DmfssUOA20_uPraJ4HIXGleI-k3EIgIjc_A6lLJnaowgBct_4E2iiSbmzjq2Aw,0,28,0,1732.547607421875,66,6
NA1_5221647656,2152.689453125,9Ro7MXjavXHqM4f_51_jJldegjQNHQBoBLxxJiZdyuEG_qS4Aul0r5bRYsy0LT69AK1kjlEniqsCnw,27,33,0,1996.0511474609375,112,3
NA1_5221647656,2152.689453125,IGrUD-DARwNYZy6feXWdljC6-VskhY97y6z5wSYnmSi2AHyVa6zDbmFnsApurkx5sV0EshcJjjEBwg,0,35,3,2139.51904296875,127,2
NA1_5221647656,2152.689453125,DEoivi0pUXTW62pyS3euw-8D63KSXb3jA-JwOqp9LmtDEPvq157ub-WHwAL07yNv-xYgKIvHEuJ5kw,1,27,0,1657.6644287109375,39,7
NA1_5221647656,2152.689453125,gX6IF2UDNUE55Ri_H92GERCkgLjNAy656J8DivanygRFAQeXlNa_nRakxvQdhR60sA7jQorVpSC-lw,0,30,1,1821.0709228515625,78,5
NA1_5221647656,2152.689453125,7R4uhPR_2kc8MuzH7DpY9BhDAsLlxbA8f_d7fGdKku0X1iyRnBKZpRsxj8GburV3EjzVjW7T1HjutA,1,31,0,1886.4503173828125,100,4
NA1_5221744924,2195.19677734375,AypW6DBZcq88edZm3SNrstsAhKLCwsaADHZP1w4HGE_wM-KcdZ_NL0Ym1C1GhSgz5ZtHOFKvb4ssnQ,0,35,2,2091.775634765625,109,4
NA1_5221744924,2195.19677734375,BRkb2tu-67Nfw6_74JAf401wDsdZh8DClo-DY2vUCTzbo-Ifqg7Mac7pcRN33EXlUNLBCMwIE6b2uA,1,33,0,1962.03564453125,98,5
NA1_5221744924,2195.19677734375,TyayXmI2YlmDobeBBYQKvDw9LtYuyPv698AovmR9tMr_xzr-sZJ3f61tn1wqREYLgHb9t4vafR2tNg,3,37,2,2182.028076171875,149,2
NA1_5221744924,2195.19677734375,BXXGrNy5ExLBze1Ol1xz72_ikyaaczMlLiCsKDLuLwEcP1k97lG9qj-5CuSzZAvGUGkBM6Y2NHR-tA,6,35,0,2095.180419921875,121,3
NA1_5221744924,2195.19677734375,ZL3VgZXs_JIK7kAdFPqvmlEsC8UneyJ93ds-pNJS0wQdHNtBGON1qCSxHxLMtUaC2YIzgu2I5NLjYQ,19,30,0,1788.9661865234375,71,6
NA1_5221744924,2195.19677734375,ANTi0B1f-qRec08EUXBoB95ss65S2YZez8CfYL1FY5s-3weW2SaP3A0yhgftfJou3CuwYAMQKcLbpQ,2,37,3,2182.028076171875,170,1
NA1_5221744924,2195.19677734375,r_dWTcNDB9cjRXCs8WHRHnGZItckOdmyBWpiThTm9pDhw2JfnXOhCp7Us-kyahz6p14zxSWeqhY64A,0,26,0,1551.2498779296875,36,8
NA1_5221744924,2195.19677734375,lQe00MCUHPnOauY4fQxgYMoIebTEIixSilL7XXYiFaxbTosqndpAjW55o6-_WInlUtsvhOKw5Vnqmw,33,28,0,1685.9671630859375,63,7
NA1_5219949238,2063.623046875,QKAlhzpr5Q144fHURfE_ibnLsFKHzDWRPVwp9M0fQf4yNj5D-u6Q5u2o4xRB6aiH4G5Xo9Cjor3UmQ,1,35,2,2051.107177734375,160,1
NA1_5219949238,2063.623046875,UK7SD8_wzHLBaACVZg9wwnVL4a7nryv189z5HOfcRj5NwXduOZ1XpvY0aSDDaq0dlBO_JnfCrs7UIw,1,27,0,1607.57958984375,45,8
NA1_5219949238,2063.623046875,G8O22skjXgZ7o53EmZUWdIp4UzrmkP2viXbxmeOvkpyau4f8Fvwa5kiOytg7zuCL_HgeXQOf3oKzVw,0,30,1,1771.5838623046875,86,5
