PC1,PC2,PC3
-1.1006795056596022,1.2062064803596175,2.171128976393546
-3.7564799996406353,-0.862197692420203,0.32356543635838364
-1.9162894786652234,-0.7543067939466255,0.4582504192923763
0.336230857499456,-0.8752884445819279,0.1222203947604968
-2.167719725605488,-0.8846186135576535,0.31367688610374767
2.5060793658931124,2.417486971838284,3.1390135057529824
2.533868193245438,-0.09683891951158083,0.6151924217119986
1.3078406702616825,-0.6148851417102001,0.1255853917732802
-2.2868422268213324,-0.9619466658224668,0.5946115800598372
-0.38237124414571755,-0.9794900324594082,0.3036887658652214
3.4903591829067375,-0.4981415618605839,0.20945701351445728
-1.40980858204881,-1.107117963009091,0.3884142186420481
0.1479057170970431,-1.164699742012495,0.3963308294052379
2.375885424797716,-0.7661179494655153,0.18941684401110942
-1.3644111420649896,-1.1003860336757258,0.382162837762953
2.1049059715867453,-0.05014207059319306,1.1849837066892486
-1.678036117284732,0.3832638517504073,-1.0415324477886132
-1.199811442323777,0.2645302784822472,-0.9808874154510945
0.21952693115984198,2.463194930585328,0.9498145040079432
-1.1860876075082913,0.265880046503467,-0.9823746453235441
-2.389994393471144,0.2602893595897184,-0.9799219117808992
2.460848274151656,0.7564513802425153,-1.3239563262719363
1.3895961184957526,2.1865299174905917,0.45999822071940355
-1.6806499425370136,0.2996700133384602,-0.968362340655862
0.31817300433063594,0.9303590641668331,3.46311599729219
-2.120955390800478,-1.5363499613811633,1.203198111976328
-0.6071790456979763,-1.7649542712608528,1.0005372144747324
-0.8090061330197046,-1.5360940932465412,1.1984132003117203
2.1523594767057332,1.4233230941616106,3.8528470756950823
-0.8611475384922609,-1.433526620782375,1.2996420579604704
3.30899722906617,1.4703263071093242,3.650104050504016
4.12071123495897,-1.0675886873496736,0.8622145141442705
3.021531981628634,1.275762806320746,0.5773864401073427
-1.8489276137681292,-0.491886871387781,-0.24120222292325055
-1.4073716278019226,-0.49182340046162565,-0.26799927571170834
0.21860207173916224,0.8530903266234177,0.9819632762914633
2.060163724988717,-0.1501057522658267,-0.5219026067021556
-1.9657186942859879,-0.46062876562103094,-0.17423412675439737
-0.4758828390189027,-0.3769361049389005,-0.3403860857514226
-0.3801658880090209,-0.44484795214677275,-0.28140302566410624
1.4081414348099315,-0.529469366315996,-0.20887537662748015
0.013340521695585464,-0.7122250624829268,-0.04482806132934419
2.2556357547256844,-0.3454363299829689,-0.13043670356440784
0.7665066761516357,-0.4688392857565091,0.16236002645103997
-0.9667594236094444,0.22423473358074925,0.8974932445370072
2.871648388347063,-0.2269321813046831,-0.25956831209313197
-2.3015740309926946,-0.7086815795499529,0.02172865871771072
-1.4861416098305744,0.9642925852330033,1.6097733623455497
1.7828418172926008,0.33185579293533496,-0.9894753871500187
-2.0654395494606557,0.04412840955310892,-0.6925349754561192
-0.5528600330314587,0.1311807282268661,-0.8618111937374041
-1.3674452480267059,0.21668767908390968,-0.7031455428839193
1.6967442232919052,0.317732755700174,-0.9768230399310984
-0.9521318612601736,0.054325437918316205,-0.7681113199446394
0.018588541769401792,1.5016946824773616,0.622499622706825
0.3520711557986602,-0.026479392013601454,-0.8837292824280228
2.8328867622960168,-1.4127659409004032,0.6254269402447175
3.28013530096867,-1.2720885120141103,0.5712296755799701
0.49505819453891037,-1.4354878185956665,0.7085723603447652
-2.1952273745040616,-1.4841824323714714,0.9325803292052576
-0.030262930732850177,-1.413759707465954,0.7312264814341712
1.9558784047037396,-1.3873344522212614,0.6681186593819524
-0.5099411042873188,-1.508812356535024,0.8396842072603606
-1.9438617527644861,-1.4770831566801266,0.9112722476870609
1.8790256824082632,2.953677805338016,2.2119259301313567
0.8164190858677922,-0.24801772999523466,-0.4826795382947854
-1.3998450342762834,-0.31904586055979156,-0.45672887344802676
-1.887035677403251,-0.23055759623421387,-0.32079868895582253
-1.6554607949782776,-0.3585149850813207,-0.42061084835520696
0.4343171986542567,-0.3269792977247814,-0.4919639516161502
0.6557418778484152,-0.3255053310005012,-0.5084527053429446
1.2016256688708253,-0.16591298019927558,-0.578751587515896
4.6423237831948585,1.3089861043164388,3.476747917881378
0.16623791677169852,-1.7866210748518752,1.1239171519712028
1.6882178769599718,-1.9609470437251397,1.1467316922649162
3.1599970769328087,-0.9141557006398938,1.9247405843316263
-1.5987605644881655,-1.9644919762711082,1.279892811590995
-2.543541001021997,-1.8227531768594039,1.3415315539389405
-0.6960684971750146,-1.9310805020852824,1.2057553039544435
0.074320418416514,-1.599599668360158,1.3363899743174472
-2.6620391452995804,0.475453560946933,-1.2093146733019775
0.17226276528907902,0.5200131838163082,-1.3348266971728806
-1.8153612469868565,0.8369992845881862,-0.9174263230858787
-1.8401131110619369,0.5826928690860035,-1.163892211636989
0.6677063117490668,0.8706333388185147,-1.1971047100036754
1.2697576917285427,0.9762746790722971,-1.2429725749355351
-2.1798644679049,0.6930742728315367,-1.048282275736537
2.6637877366278944,1.2905842772047877,-1.475420348379754
-1.2210580261094939,-0.8024613764505047,0.034568416383812126
-1.7434540116533852,-0.625165558671801,0.20395258021211402
3.358970574002017,2.2145092650468032,2.194490268712763
0.698320786198238,-0.746803571627356,-0.03791368723385486
2.8462857423844428,1.521689149770328,1.6743596728394616
-1.6157986494489691,-0.6546726101956399,0.1354061914645415
-1.011247156039063,-0.10468034499527638,0.6465295481289088
-0.6438888193355352,0.8532575412092473,1.5698025979166694
-0.5924745698704068,0.20575741774258918,-0.4187768720762985
-2.3866571833574857,0.8513905569753222,0.450660050884964
-1.758672084465745,-0.1994858378650065,-0.5610567136620624
